Date acquired,Quantity,Cost basis,Cost basis/share,Value,Gain/loss,Sale availability date,Transfer availability date,Grant date,Share source,Holding period
Sep-30-2025,1.1788,468.07,397.07,517.85,49.78,-,-,Jul-01-2025,SP,Short
Sep-02-2025,1.7690,763.48,431.59,777.12,13.64,-,-,-,DO,Short
Sep-02-2025,1.7690,763.48,431.59,777.12,13.64,-,-,-,DO,Short
Sep-02-2025,1.1790,508.85,431.59,517.94,9.09,-,-,-,DO,Short
Sep-02-2025,0.5900,254.64,431.60,259.19,4.55,-,-,-,DO,Short
Jun-30-2025,1.7830,679.90,381.32,783.27,103.38,-,-,Apr-01-2025,SP,Short
Jun-02-2025,0.5890,230.96,392.13,258.75,27.79,-,-,-,DO,Short
Jun-02-2025,1.7700,694.07,392.13,777.56,83.49,-,-,-,DO,Short
Jun-02-2025,0.5890,230.96,392.13,258.75,27.79,-,-,-,DO,Short
Jun-02-2025,1.7700,694.07,392.13,777.56,83.49,-,-,-,DO,Short
Jun-02-2025,1.1790,462.32,392.13,517.94,55.62,-,-,-,DO,Short
Apr-15-2025,6.4900,2143.86,330.33,2851.07,707.21,-,-,-,DO,Short
Mar-31-2025,8.7400,2515.17,287.78,3839.50,1324.33,-,-,Jan-02-2025,SP,Short
Feb-28-2025,1.7700,591.81,334.35,777.56,185.76,-,-,-,DO,Short
Feb-28-2025,1.7700,591.81,334.35,777.56,185.76,-,-,-,DO,Short
Feb-28-2025,1.1800,394.54,334.36,518.38,123.84,-,-,-,DO,Short
Feb-28-2025,0.5890,196.93,334.35,258.75,61.82,-,-,-,DO,Short
Dec-31-2024,8.0676,2606.85,323.13,3544.11,937.26,-,-,Oct-01-2024,SP,Short
Dec-02-2024,0.5890,212.45,360.70,258.75,46.30,-,-,-,DO,Short
Dec-02-2024,0.5890,212.45,360.70,258.75,46.30,-,-,-,DO,Short
Dec-02-2024,1.1790,425.26,360.70,517.94,92.67,-,-,-,DO,Short
Dec-02-2024,1.7690,638.07,360.70,777.12,139.05,-,-,-,DO,Short
Dec-02-2024,1.7690,638.07,360.70,777.12,139.05,-,-,-,DO,Short
Oct-15-2024,5.9000,2106.41,357.02,2591.88,485.47,-,-,-,DO,Short
Sep-30-2024,18.5750,6127.38,329.87,8160.03,2032.65,-,-,Jul-01-2024,SP,Long
Sep-03-2024,0.5890,209.28,355.32,258.75,49.46,-,-,-,DO,Long
Sep-03-2024,1.1800,419.28,355.32,518.38,99.10,-,-,-,DO,Long
Sep-03-2024,1.7700,628.91,355.32,777.56,148.65,-,-,-,DO,Long
Aug-30-2024,1.1790,414.88,351.89,517.94,103.06,-,-,-,DO,Long
Jun-28-2024,9.3326,3197.73,342.64,4099.83,902.10,-,-,Apr-01-2024,SP,Long
May-31-2024,0.5900,208.40,353.22,259.19,50.79,-,-,-,DO,Long
May-31-2024,1.7700,625.19,353.21,777.56,152.38,-,-,-,DO,Long
May-31-2024,1.7700,625.19,353.21,777.56,152.38,-,-,-,DO,Long
May-30-2024,1.1790,431.00,365.56,517.94,86.94,-,-,-,DO,Long
Apr-15-2024,5.9000,2120.28,359.37,2591.88,471.60,-,-,-,DO,Long
Mar-28-2024,8.4800,2735.05,322.53,3725.28,990.23,-,-,Jan-02-2024,SP,Long
Feb-29-2024,0.5890,204.56,347.30,258.75,54.19,-,-,-,DO,Long
Feb-29-2024,0.5890,204.56,347.30,258.75,54.19,-,-,-,DO,Long
Feb-29-2024,1.1800,409.80,347.29,518.38,108.57,-,-,-,DO,Long
Feb-29-2024,1.1800,409.80,347.29,518.38,108.57,-,-,-,DO,Long
